,magnitude,depth
0,2.9,0.0
1,4.7,162.92
2,5.7,27.36
3,3.3,0.0
4,3.0,6.23
5,5.7,10.0
6,5.5,10.0
7,3.22,86.0
8,3.19,32.37
9,4.9,10.0
10,2.7,41.3
11,4.8,47.15
12,4.8,10.0
13,4.7,10.0
14,5.1,40.96
15,4.8,10.0
16,2.8,0.2
17,4.6,101.69
18,3.2,1.9
19,2.57,14.38
20,3.3,45.3
21,4.4,10.0
22,3.36,51.0
23,5.0,110.77
24,2.7,0.0
25,4.4,15.9
26,3.03,32.0
27,2.63,0.02
28,5.2,61.46
29,2.65,33.0
30,4.9,10.0
31,4.9,10.0
32,2.94,68.0
33,2.64,48.0
34,2.9,10.0
35,5.0,35.0
36,2.9,3.4
37,3.05,46.0
38,2.7,32.9
39,2.97,8.0
40,5.0,44.04
41,2.9,0.0
42,3.0,7.61
43,3.1,13.4
44,2.6,5.4
45,3.3,24.4
46,5.1,10.0
47,5.2,9.3
48,4.7,10.0
49,2.5,5.0
50,5.7,7.09
51,5.0,10.0
52,5.0,8.28
53,4.9,63.0
54,2.8,12.0
55,5.6,129.13
56,4.0,54.54
57,2.6,5.0
58,2.7,0.0
59,2.5,36.1
60,4.7,10.0
61,2.9,10.0
62,5.0,10.0
63,6.4,29.0
64,2.99,109.0
65,5.1,48.12
66,4.3,10.0
67,2.7,14.2
68,4.1,33.68
69,4.3,10.0
70,4.7,51.42
71,2.5,18.7
72,2.64,10.0
73,5.6,10.0
74,2.8,73.8
75,2.99,99.0
76,3.17,94.0
77,3.42,83.0
78,4.7,10.0
79,5.3,10.0
80,2.45,23.0
81,3.3,91.3
82,4.5,46.57
83,3.27,112.0
84,3.3,38.8
85,2.89,87.0
86,5.7,17.86
87,4.4,57.15
88,3.0,10.0
89,2.96,70.0
90,4.8,10.0
91,2.7,12.7
92,4.9,35.0
93,3.37,17.07
94,2.93,122.0
95,4.8,42.11
96,3.15,78.0
97,4.5,506.62
98,4.6,62.46
99,2.66,40.0
100,4.2,65.28
101,4.1,5.0
102,4.4,10.69
103,5.4,22.68
104,4.4,120.05
105,3.4,1.9
106,4.2,35.0
107,3.5,20.01
108,4.8,39.81
109,5.1,37.11
110,4.8,35.0
111,2.9,1.8
112,2.8,149.1
113,2.55,10.24
114,4.0,406.74
115,2.51,7.46
116,3.8,43.27
117,2.46,59.0
118,4.6,35.0
119,2.72,84.0
120,2.87,38.0
121,2.9,8.4
122,2.6,11.2
123,2.8,0.0
124,4.5,10.0
125,2.6,2.24
126,2.75,8.55
127,4.4,10.0
128,4.5,10.0
129,2.9,0.0
130,2.9,5.0
131,2.5,13.2
132,4.8,37.17
133,4.49,0.76
134,3.32,6.01
135,4.4,65.0
136,4.2,10.0
137,4.4,73.44
138,4.6,10.0
139,3.8,5.0
140,4.8,10.0
141,4.5,38.92
142,5.9,10.0
143,2.7,5.0
144,2.61,15.59
145,4.4,44.05
146,4.8,103.59
147,4.0,66.25
148,2.71,10.0
149,2.52,-0.45
150,3.44,33.0
151,3.43,72.0
152,2.97,61.0
153,4.6,10.0
154,2.89,7.0
155,2.8,5.0
156,4.6,10.0
157,2.5,5.0
158,2.8,5.7
159,2.6,0.1
160,3.38,60.0
161,2.9,58.0
162,2.59,5.74
163,4.4,231.68
164,4.6,79.92
165,4.2,76.64
166,2.98,6.53
167,2.54,74.0
168,2.82,23.4
169,4.9,66.28
170,3.09,3.43
171,4.2,16.58
172,2.9,0.5
173,4.9,10.0
174,5.4,10.0
175,2.8,20.91
176,2.8,0.0
177,3.4,19.76
178,2.5,14.0
179,2.7,2.2
180,4.3,152.27
181,2.58,48.0
182,4.5,16.49
183,3.8,89.43
184,2.48,12.66
185,2.73,9.21
186,2.8,35.7
187,4.5,10.0
188,2.85,6.09
189,4.3,35.0
190,4.2,208.06
191,4.4,34.91
192,2.5,184.9
193,2.71,98.0
194,3.5,10.0
195,3.2,38.0
196,2.6,0.0
197,2.87,10.24
198,5.5,10.9
199,2.7,5.42
200,5.6,14.75
201,2.5,13.49
202,4.9,121.54
203,2.99,57.0
204,5.3,10.0
205,2.7,15.3
206,2.58,67.0
207,4.1,10.0
208,4.8,10.0
209,4.3,10.0
210,2.8,53.2
211,2.8,5.0
212,3.06,12.0
213,2.84,24.65
214,4.3,10.0
215,2.94,24.0
216,2.7,19.89
217,3.1,34.91
218,2.82,42.0
219,4.6,165.11
220,4.5,10.0
221,2.9,0.0
222,4.9,10.0
223,3.79,19.5
224,2.49,8.0
225,3.35,31.0
226,6.0,10.0
227,2.57,6.96
228,5.2,69.04
229,2.61,8.94
230,2.93,19.0
231,3.9,35.0
232,2.5,10.0
233,3.2,32.4
234,4.5,10.0
235,2.8,10.0
236,3.1,0.0
237,4.8,12.12
238,2.78,4.0
239,4.6,558.63
240,4.8,507.97
241,5.2,13.56
242,2.47,4.89
243,3.2,7.96
244,3.7,10.0
245,4.4,42.55
246,4.6,99.41
247,4.2,25.94
248,2.8,17.8
249,4.8,342.06
250,2.5,19.6
251,2.6,69.0
252,2.7,37.1
253,4.2,114.94
254,4.4,145.38
255,4.9,35.0
256,7.0,257.42
257,2.56,105.0
258,4.7,35.0
259,2.6,14.7
260,2.8,20.11
261,3.1,37.9
262,4.0,10.0
263,3.3,19.35
264,2.61,23.0
265,4.8,10.0
266,3.0,10.0
267,2.45,26.95
268,4.2,10.0
269,3.3,10.0
270,2.5,0.0
271,4.5,35.0
272,2.7,18.3
273,2.7,4.0
274,4.5,200.06
275,2.9,0.3
276,5.8,10.0
277,5.2,181.47
278,4.0,189.55
279,2.55,44.72
280,2.9,4.8
281,3.1,5.0
282,5.5,573.63
283,2.68,75.0
284,3.2,10.0
285,2.62,8.94
286,2.8,3.5
287,4.6,141.81
288,4.8,151.47
289,4.9,10.0
290,5.1,10.0
291,4.8,23.88
292,4.6,41.72
